Membership No  Date Joined  Active  
    41178      2019-3-14    yes   
    32556      2015-4-23    yes   
    50591      2020-7-8     yes   
    66255      2018-12-10   yes   
    57297      2019-4-8     yes   
    16898      2019-5-22    yes   
    64134      2015-10-11   yes   
    24080      2018-2-11    yes   
    74130      2018-8-12    yes   
    19341      2019-7-10    yes   
    98787      2020-1-17    yes   
    93461      2020-4-5     yes   
    67513      2019-3-15    yes   
    73772      2019-9-14    yes   
