Membership No  Date Joined  Active  
    35617      2020-6-19    no    
    62803      2017-6-21    no    
    28253      2019-5-12    no    
    66669      2018-1-7     no    
    26609      2020-7-4     no    
    80251      2017-8-10    no    
    55209      2015-6-17    no    
    22285      2020-3-23    no    
    40976      2018-10-4    no    
    87955      2015-3-2     no    
    76731      2016-1-6     no    
    15103      2016-10-15   no    
    14434      2015-6-17    no    
    65609      2018-8-12    no    
    90181      2017-2-18    no    
